"","DATE","GS10","UNRATE","CUMFNS","TB3MS","INDPRO","CPIAUCNS","USREC"
"1","1953-04-01",2.83,2.7,91.4983,2.19,19.563,26.6,0
"2","1953-05-01",3.05,2.5,91.6937,2.16,19.6708,26.7,0
"3","1953-06-01",3.11,2.5,90.6594,2.11,19.59,26.8,0
"4","1953-07-01",2.93,2.6,90.9787,2.04,19.8325,26.8,0
"5","1953-08-01",2.95,2.7,90.5636,2.04,19.7247,26.9,1
"6","1953-09-01",2.87,2.9,88.3263,1.79,19.3205,26.9,1
"7","1953-10-01",2.66,3.1,87.1948,1.38,19.1588,27,1
"8","1953-11-01",2.68,3.5,84.7407,1.44,18.7008,26.9,1
"9","1953-12-01",2.59,4.5,82.3076,1.6,18.2427,26.9,1
"10","1954-01-01",2.48,4.9,81.3314,1.18,18.1079,26.9,1
"11","1954-02-01",2.47,5.2,80.8402,0.97,18.1618,26.9,1
"12","1954-03-01",2.37,5.7,80.2379,1.03,18.054,26.9,1
"13","1954-04-01",2.29,5.9,79.4012,0.97,17.9462,26.8,1
"14","1954-05-01",2.37,5.9,79.7563,0.76,18.054,26.9,1
"15","1954-06-01",2.38,5.6,79.8726,0.64,18.1079,26.9,0
"16","1954-07-01",2.3,5.8,79.3984,0.72,18.1349,26.9,0
"17","1954-08-01",2.36,6,78.8093,0.92,18.1079,26.9,0
"18","1954-09-01",2.38,6.1,79.1621,1.01,18.1349,26.8,0
"19","1954-10-01",2.43,5.7,79.7465,0.98,18.3505,26.8,0
"20","1954-11-01",2.48,5.3,80.9104,0.93,18.6469,26.8,0
"21","1954-12-01",2.51,5,81.7984,1.15,18.8894,26.7,0
"22","1955-01-01",2.61,4.9,83.491,1.22,19.3205,26.7,0
"23","1955-02-01",2.65,4.7,84.1335,1.17,19.563,26.7,0
"24","1955-03-01",2.68,4.6,85.769,1.28,20.0211,26.7,0
"25","1955-04-01",2.75,4.7,86.7049,1.59,20.2636,26.7,0
"26","1955-05-01",2.76,4.3,87.8619,1.45,20.587,26.7,0
"27","1955-06-01",2.78,4.2,87.6462,1.41,20.6139,26.7,0
"28","1955-07-01",2.9,4,87.6585,1.6,20.7756,26.8,0
"29","1955-08-01",2.97,4.2,87.3323,1.9,20.7487,26.8,0
"30","1955-09-01",2.97,4.1,87.4582,2.07,20.8834,26.9,0
"31","1955-10-01",2.88,4.3,88.3671,2.23,21.2337,26.9,0
"32","1955-11-01",2.89,4.2,88.2651,2.24,21.2876,26.9,0
"33","1955-12-01",2.96,4.2,89.0259,2.54,21.3684,26.8,0
"34","1956-01-01",2.9,4,88.2309,2.41,21.5032,26.8,0
"35","1956-02-01",2.84,3.9,87.4422,2.32,21.3145,26.8,0
"36","1956-03-01",2.96,4.2,86.9629,2.25,21.3145,26.8,0
"37","1956-04-01",3.18,4,87.7998,2.6,21.4762,26.9,0
"38","1956-05-01",3.07,4.3,86.3431,2.61,21.2876,27,0
"39","1956-06-01",3,4.3,85.3322,2.49,21.099,27.2,0
"40","1956-07-01",3.11,4.4,81.5224,2.31,20.4522,27.4,0
"41","1956-08-01",3.33,4.1,84.9487,2.6,21.2876,27.3,0
"42","1956-09-01",3.38,3.9,85.9908,2.84,21.7726,27.4,0
"43","1956-10-01",3.34,3.9,86.491,2.9,21.9613,27.5,0
"44","1956-11-01",3.49,4.3,85.8189,2.99,21.7726,27.5,0
"45","1956-12-01",3.59,4.2,86.7793,3.21,22.096,27.6,0
"46","1957-01-01",3.46,4.2,86.151,3.11,22.0151,27.6,0
"47","1957-02-01",3.34,3.9,86.9983,3.1,22.2307,27.7,0
"48","1957-03-01",3.41,3.7,86.4136,3.08,22.2038,27.8,0
"49","1957-04-01",3.48,3.9,84.9971,3.07,21.9074,27.9,0
"50","1957-05-01",3.6,4.1,84.2139,3.06,21.8265,28,0
"51","1957-06-01",3.8,4.3,84.5773,3.29,21.8804,28.1,0
"52","1957-07-01",3.93,4.2,84.3174,3.16,22.0151,28.3,0
"53","1957-08-01",3.93,4.1,84.1625,3.37,22.0152,28.3,0
"54","1957-09-01",3.92,4.4,83.1858,3.53,21.8265,28.3,1
"55","1957-10-01",3.97,4.5,81.3949,3.58,21.5032,28.3,1
"56","1957-11-01",3.72,5.1,79.4105,3.31,20.9912,28.4,1
"57","1957-12-01",3.21,5.2,77.5488,3.04,20.587,28.4,1
"58","1958-01-01",3.09,5.8,75.6978,2.44,20.2097,28.6,1
"59","1958-02-01",3.05,6.4,73.7563,1.53,19.7786,28.6,1
"60","1958-03-01",2.98,6.7,72.7431,1.3,19.5361,28.8,1
"61","1958-04-01",2.88,7.4,71.3327,1.13,19.2127,28.9,1
"62","1958-05-01",2.92,7.4,71.9395,0.91,19.4013,28.9,0
"63","1958-06-01",2.97,7.3,73.9457,0.83,19.9133,28.9,0
"64","1958-07-01",3.2,7.5,74.3421,0.91,20.2097,29,0
"65","1958-08-01",3.54,7.4,75.7329,1.69,20.6139,28.9,0
"66","1958-09-01",3.76,7.1,76.2217,2.44,20.8026,28.9,0
"67","1958-10-01",3.8,6.7,76.4104,2.63,21.0451,28.9,0
"68","1958-11-01",3.74,6.2,79.0691,2.67,21.6649,29,0
"69","1958-12-01",3.86,6.2,79.0434,2.77,21.6918,28.9,0
"70","1959-01-01",4.02,6,80.1973,2.82,22.0151,29,0
"71","1959-02-01",3.96,5.9,81.4428,2.7,22.4463,28.9,0
"72","1959-03-01",3.99,5.6,82.4769,2.8,22.7696,28.9,0
"73","1959-04-01",4.12,5.2,83.9922,2.95,23.2547,29,0
"74","1959-05-01",4.31,5.1,84.9159,2.84,23.605,29,0
"75","1959-06-01",4.34,5,84.7686,3.21,23.6319,29.1,0
"76","1959-07-01",4.4,5.1,82.9798,3.2,23.066,29.2,0
"77","1959-08-01",4.43,5.2,79.4676,3.38,22.2846,29.2,0
"78","1959-09-01",4.68,5.5,79.0489,4.04,22.2577,29.3,0
"79","1959-10-01",4.53,5.7,78.1537,4.05,22.096,29.4,0
"80","1959-11-01",4.53,5.8,78.5051,4.15,22.2307,29.4,0
"81","1959-12-01",4.69,5.3,83.5682,4.49,23.605,29.4,0
"82","1960-01-01",4.72,5.2,85.5616,4.35,24.2247,29.3,0
"83","1960-02-01",4.49,4.8,84.6108,3.96,24.0092,29.4,0
"84","1960-03-01",4.25,5.4,83.2421,3.31,23.7936,29.4,0
